Time,PosX,PosY,PosZ,RotX,RotY,RotZ,Speed,TotalDistance,MouseDeltaX,MouseDeltaY,RotationalSpeed,Acceleration,HeadSwayAngle,SimAccelX,SimAccelY,SimAccelZ,SimAngVelX,SimAngVelY,SimAngVelZ
0.901292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.406966,0,0,0,62.86442,126.4173,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.913814,0,0,0,21.7775,130.3208,9.193889E-07,0,0,0,0.25,0,0,0,0,0,0,0,0,0
2.42375,0,0,0,21.99936,117.2922,0,0,0,0,-0.5,0,0,0,0,0,0,0,0,0
2.933581,0,0,0,21.99936,116.4197,1.84164E-06,0,0,0,0.25,0,0,0,0,0,0,0,0,0
3.440475,0.688311,-0.3099737,-0.3389389,21.99936,116.1731,-9.208206E-07,4.656402,0.8274873,0,0,0,8.289063,0,6.907768,-3.10503,-3.368989,0,0,0
3.943965,2.540215,-0.4495031,-1.561373,322.8737,151.7956,2.141644E-06,4.82811,3.050855,0.25,0,0,0,0,0,0,0,0,0,0
4.45252,3.604851,0.02271199,-3.644244,6.915921,136.5436,0,4.9688,5.43723,-2.75,0,0,0,0,0,0,0,0,0,0
4.964003,5.816105,-0.2360267,-4.757097,8.430351,125.2153,-4.315498E-07,4.950196,7.926213,2.75,0,0,17.1409,0,-7.542007,-2.80521,-15.13471,0,0,0
5.468631,7.709775,-0.5710491,-6.325811,3.515357,130.9676,-2.138458E-07,4.997071,10.40796,-0.25,0,0,3.560506,0,1.403088,3.070924,1.130475,0,0,0
5.977093,9.694127,-0.7327385,-7.657857,358.9661,62.19503,0,4.599494,12.80341,-0.25,0,0,0,0,0,0,0,0,0,0
6.48138,12.04424,-0.7636675,-6.792524,347.3748,54.15421,8.749287E-07,4.871798,15.30796,-0.25,0.75,0,0,0,0,0,0,0,0,0
6.987148,14.32925,-0.4430988,-5.990866,340.4409,51.4012,9.060562E-07,4.931723,17.75064,0.25,-0.25,0,34.00913,0,-17.18441,12.94242,26.34028,0,0,0
7.488888,16.17219,0.2863177,-4.493479,348.2759,56.24137,0,4.991738,20.23472,0.25,-0.5,0,7.470515,0,4.213224,-5.052403,-3.539853,0,0,0
7.994124,18.22179,0.7979891,-3.160414,348.5964,58.88174,0,4.999786,22.73266,0,0,0,0,0,0,0,0,0,0,0
8.510908,19.45201,0.9559801,-2.658436,5.046088,133.4243,-2.142739E-07,0.1334322,24.07072,0.75,2.5,0,0,0,0,0,0,0,0,0
9.013997,19.46243,0.9561871,-2.656315,1.398228,140.079,0,0.0005040939,24.08135,-0.75,-2.5,0,0,0,0,0,0,0,0,0
9.519994,19.46247,0.9561878,-2.656307,8.274224,141.1859,6.470658E-07,1.904417E-06,24.08139,0,0,0,0,0,0,0,0,0,0,0
10.0335,19.42089,1.191948,-3.813916,341.4915,230.3722,0,4.541603,25.26349,-3.75,-2,0,0,0,0,0,0,0,0,0
10.55321,17.36682,1.56926,-5.194731,356.9727,256.4688,0,4.965373,27.76713,3.75,2,0,0,0,0,0,0,0,0,0
11.06293,15.2261,1.419009,-6.408992,11.22418,208.8697,0,4.899255,30.23283,1.25,0.25,0,0,0,0,0,0,0,0,0
11.59778,14.643,1.223851,-7.301621,359.074,248.6562,2.668391E-08,0.07157507,31.31675,-1.25,-0.25,0,0,0,0,0,0,0,0,0
12.11346,14.63978,1.222895,-7.30624,359.074,254.4674,0,0.0002163229,31.32246,0,0,0,0,0,0,0,0,0,0,0
12.62004,14.63977,1.222893,-7.306253,0.01158404,244.2948,4.168817E-10,6.537974E-07,31.32248,0.25,0,0,0,0,0,0,0,0,0,0
